,Unnamed: 0,review,rating_of_review,product_name,product_brand,product_star_rating,product_price
262,262,"

  Nice shoes. Too large size for me. So returned

",3.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
263,263,"

  Very excellent shoesWhat I want I get that one. it's really good in quality but only one minus thing is when v walk on floor it make much noice .even though the item is good.

",5.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
264,264,"

  Poor quality and uncomfortable

",1.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
265,265,"

  Gr8...used everyday after receiving.8AM to 8 PM.no problm at all..gr8 performance

",4.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
266,266,"

  Initially I liked the fit and quality. But within six month of usage, the mesh got damaged near the toe for both the shoes. Never expected this quality from Liberty.

",1.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
267,267,"

  Fits well, good comfort, good material used. Putting ON & taking OFF is very easy. Soft cushioning & good sole. I an using everyday for walking my pet. Recommended for rough & touch use also.

",5.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
268,268,"

  Very nice

",5.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
269,269,"

  Purchased for my Dad..Good perfect fitting.. comfortable..Overall experience is good.Will definitely recommend.

",4.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
270,270,"

  Good

",3.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
271,271,"

  This Shoe is looks good but material wise its not decent. I am using this one for last 3-4 months even not very roughly , still the upper stitches started breacking . Secondly the shoe is not waterproof , one can hardly use it on rainy season.

",2.0 out of 5 stars,"











Sparx Men's Sx012bg Running Shoes










","


Brand: Sparx


","



4.2 out of 5 stars




","




Price:

₹879.00 - ₹899.00









 Inclusive of all taxes





"
